Top,Base,Component
0.0,1267.0,"North Sea Supergroup, silty sandstone"
1267.0,2697.5,"Ommelanden Formation, limestone"
2697.5,2784.0,"Texel Formation, limestone"
2784.0,2967.5,"Upper Holland Marl Member, marl"
2967.5,3182.5,"Vlieland Claystone Formation, claystone"
3182.5,3396.0,"Upper Slochteren Member, sandstone"
