Top,Base,Component
0.0,1344.0,"North Sea Supergroup, silty sandstone"
1344.0,2613.79,"Ommelanden Formation, limestone"
2613.79,2704.0,"Texel Formation, limestone"
2704.0,2897.465,"Upper Holland Marl Member, marl"
2897.465,3100.925,"Vlieland Claystone Formation, claystone"
3100.925,3278.62,"Upper Slochteren Member, sandstone"
