Top,Base,Component
0.0,1262.0,"North Sea Supergroup, silty sandstone"
1262.0,2738.0,"Ommelanden Formation, limestone"
2738.0,2903.5,"Texel Formation, limestone"
2903.5,3060.0,"Vlieland Claystone Formation, claystone"
3060.0,3236.0,"Upper Slochteren Member, sandstone"
